V1
fc H
rm 1
tune.args fc.H_rm.1
auc.train 1
cbi.train 1
auc.diff.avg 0.003834475
auc.diff.sd 0.004652968
auc.val.avg 0.9778107
auc.val.sd 0.03691315
cbi.val.avg 1
cbi.val.sd 0
or.10p.avg 0.1169872
or.10p.sd 0.1326551
or.mtp.avg 0.03846154
or.mtp.sd 0.04441156
AICc 1471.285
delta.AICc 4.296173
w.AIC 0.1045102
ncoef 10
